"OutputType","Output","AnswerType","AnswerChoices","CorrectAnswer","Hint","Figure","FigureType","VideoLink","Tag","Notes","Class","AnswerTests"
"text","Today, I'll be teaching you the basics of data analysis. It probably makes sense to start by defining the word DATA.",NA,NA,NA,NA,NA,NA,NA,"data",NA,"text",NA
"text","According to Wikipedia, ""Data are values of qualitative or quantitative variables, belonging to a set of items.""",NA,NA,NA,NA,NA,NA,NA,"data",NA,"text",NA
"text","Often the ""set of items"" that we are interested in studying is referred to as the POPULATION. Data analysis usually involves studying a subset, or SAMPLE, of an entire population.",NA,NA,NA,NA,NA,NA,NA,"sample vs. population",NA,"text",NA
"figure","Here is a diagram showing the relationship between a population and a sample.",NA,NA,NA,NA,"mod1_pop_vs_samp.R","new",NA,"sample vs. population",NA,"figure",NA
"text","Data analysis should always start with a specific question of interest. For example, we might ask ""What percentage of people living in the United States are over six feet tall?""",NA,NA,NA,NA,NA,NA,NA,"sample vs. population",NA,"text",NA
"text","Here, our population of interest is everyone living in the US. Since it's impractical to measure the heights of over 300 million people, we could instead choose 100 people at random and measure their heights. Our hope would be that this sample of 100 people is REPRESENTATIVE of the entire US population.",NA,NA,NA,NA,NA,NA,NA,"sample vs. population",NA,"text",NA
"question","Let's quickly test your understanding of the term REPRESENTATIVE. If you were interested in studying the health of men living in the US, ages 18-25, which sample would be more representative of the target population: a sample of 50 men who live in a nearby retirement home, or a sample of 50 men who are students at a local university?","multiple","Men living at the retirement home; College students","College students","Since your target population is all men ages 18-25 living in the US, which of these 2 sample populations more closely matches the population of interest?",NA,NA,NA,"sample vs. population",NA,"mult_question","word= College students"
"question","Let's try another example to make sure you fully understand the idea of a representative sample. If you were interested in studying a group of African animals and how they adapt to climate change, which sample would be more representative of the target population: a sample consisting of 25 lions and 25 cheetahs, or a sample consisting of 25 kangaroos and 25 koala bears?","multiple","25 lions and 25 cheetahs; 25 kangaroos and 25 koala bears","25 lions and 25 cheetahs","Since your target population is all African animals, which of these 2 sample populations more closely matches the population of interest?",NA,NA,NA,"sample vs. population",NA,"mult_question","word= 25 lions and 25 cheetahs"
"video","Would you like to watch a video on these topics now?",NA,NA,NA,NA,NA,NA,"http://youtu.be/sRArT81TVEM","sample vs. population",NA,"video",NA
"text","The purpose of analyzing a sample is to draw conclusions about the population from which the sample was selected. This is called INFERENCE and is the primary goal of INFERENTIAL STATISTICS.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"text",NA
"text","In order to make any inferences about the population, we first need to describe the sample. This is the primary goal of DESCRIPTIVE STATISTICS.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"text",NA
"text","If we want to describe our sample using just one number, how would we best do it? A good start is to find the center, the middle, or the most common element of our data. Statisticians call this the CENTRAL TENDENCY.",NA,NA,NA,NA,NA,NA,NA,"central tendency",NA,"text",NA
"text","There are three different methods for finding such a number and the applicability of each method depends on the situation. Those three methods are called the MEAN, MEDIAN, and MODE.",NA,NA,NA,NA,NA,NA,NA,"central tendency",NA,"text",NA
"video","Would you like to watch a brief video on mean, median, and mode?",NA,NA,NA,NA,NA,NA,"http://youtu.be/h8EYEJ32oQ8","central tendency",NA,"video",NA
"question","Mean, median, and mode are all measures of ____________.","text",NA,"central tendency","This is a fancy term for the ""middle"" of a dataset.",NA,NA,NA,"central tendency",NA,"text_question","word=central tendency"
"question","Which of the following terms are of most importance when describing the central tendency of a data set?","multiple","median, mode, range; statistics, population, mode; population, sample, representative; mode, median, mean","mode, median, mean","These are the three different methods  stated above that are used for describing the center of a data set.",NA,NA,NA,"central tendency",NA,"mult_question","word= mode, median, mean"
"question","To illustrate these concepts, we will now look at a real life dataset. Type 'cars' and press Enter to see the dataset we'll be working with.","command",NA,"cars","Type 'cars' and press Enter. Do not use quotes, spaces, or uppercase letters.",NA,NA,NA,"R-command",NA,"cmd_question","swirl1cmd=cars"
"text","You'll notice the rows are numbered 1 through 54, each representing exactly one car in the dataset. For each car, the following VARIABLES, or characteristics, are reported: 'type' (small, midsize, large), 'price' (USD), 'mpgCity' (city miles per gallon), 'driveTrain' (4WD, front, rear), 'passengers' (total capacity), and 'weight' (lbs). ",NA,NA,NA,NA,NA,NA,NA,"R-command",NA,"text",NA
"text","We'll be focusing on the 'mpgCity' variable in this lesson. For simplicity, let's extract it from our dataset and store it in a new variable.",NA,NA,NA,NA,NA,NA,NA,"R-command",NA,"text",NA
"question","Access the 'mpgCity' variable from the 'cars' dataset using the 'dataset$variable' notation.","command",NA,"cars$mpgCity","Use 'dataset$variable' notation. Remember the name of our dataset is 'cars' and the name of the variable we are interested in is 'mpgCity'.",NA,NA,NA,"R-command",NA,"cmd_question","swirl1cmd=cars$mpgCity"
