"Output.Type","Output","Answer.Type","Choices","Correct.Answer","Hint","Figure","Figure.Type","Video","Tag","Notes"
"text","Welcome to Module 2! In this module, we will learn what DISPERSION is and what statistical values are needed in order to best describe the spread of data. Further, you will learn all about a box-and-whisker plot which is  a plot commonly used by Statisticians when determining variability. ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"text","While measures of central tendency are used to estimate the middle values of a dataset, measures of dispersion are important for describing the spread of the data. ",NA,NA,NA,NA,NA,NA,NA,"dispersion",NA
"text","The term dispersion refers to degree to which the data values are scattered around an average value. Dispersion is synonymous with other words such as variability and the spread.",NA,NA,NA,NA,NA,NA,NA,"dispersion",NA
"text","Why is it important to analyze the spread of a particular set of data? Two different samples may have the same mean or median, but different levels of variability or vice versa. ",NA,NA,NA,NA,NA,NA,NA,"dispersion",NA
"question","Therefore, it is important to describe both the __________ and _________ of a data set. ","multiple","median, variability; central tendency, dispersion; middle, mean; spread, variability","central tendency, dispersion","The first term refers to the middle of a dataset. The second term refers to the spread of a dataset.",NA,NA,NA,"dispersion",NA
"text","In this module, we will discuss the three statistical values most commonly used to describe the dispersion or variability of a data set. Variability is a fancy term used to classify how variable or spread out the data is. ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"text","The first descriptive statistic that can describe the variability of a data set is known as the RANGE. The range is the difference between the maximum and minimum values of the data set. ",NA,NA,NA,NA,NA,NA,NA,"range",NA
"text","To demonstrate how you can use R to determine the range of a data set we will refer back to the cars data set from the previous module. ",NA,NA,NA,NA,NA,NA,NA,"range",NA
"question","Type in the R-command 'range(cars$price)' to determine the exact values for the minimum and maximum prices of cars in the data set. ","command",NA,"range(cars$price)","Type in 'range(cars$price)' without quotations and press enter to see the minimum and maximum prices. ",NA,NA,NA,"range",NA
"question","Now that you have the minimum and maximum 'price' values, calculate the range of the 'price' data. ","exact",NA,"54.5","Subtract the minimum price value from the maximum price value.",NA,NA,NA,"range",NA
"text","The second important measure of variability is known as VARIANCE. Mathematically, VARIANCE is the average of the squared differences from the mean. More simply, variance represents the total distance of the data from the mean.",NA,NA,NA,NA,NA,NA,NA,"variance",NA
"question","In R, you can use the command 'var(data)' to easily calculate the variance of a particular set of data. Try calculating the variance for the data 'cars$price'. ","command",NA,"var(cars$price)","Type in 'var(cars$price)' without quotations and press enter to see the variance of the prices of cars.",NA,NA,NA,"variance",NA
"text","The values for variance and standard deviation are very closely related. The standard deviation can be calculated by taking the square root of the variance where as the variance can be calculated by squaring the standard deviation. ",NA,NA,NA,NA,NA,NA,NA,"standard deviation",NA
"text","To Statisticians, the standard deviation is a more conventional measure of variability because it is expressed in the same units as the original data values.",NA,NA,NA,NA,NA,NA,NA,"standard deviation",NA
"question","Similar to variance, you can use the R-command 'sd(data)' to calculate the standard deviation of a particular set of data. Try calculating the standard deviation for the data 'cars$price'.","command",NA,"sd(cars$price)","Type in 'sd(cars$price)' without quotations and press enter to see the standard deviation of the prices of cars.",NA,NA,NA,"standard deviation",NA
"question","Using the relationship between standard deviation and variance described above, use a different method and your standard deviation value calculated for the data 'cars$price' to find the variance. ","command",NA,"sd(cars$price)^2","Square your standard deviation value calculated for the prices of cars.",NA,NA,NA,"standard deviation",NA
